,id,type,sectionId,sectionName,webPublicationDate,webTitle,webUrl,apiUrl,isHosted,pillarId,pillarName
0,world/2020/nov/18/us-passes-250000-deaths-from-coronavirus,article,world,World news,2020-11-18T22:49:04Z,"US passes 250,000 deaths from coronavirus",https://www.theguardian.com/world/2020/nov/18/us-passes-250000-deaths-from-coronavirus,https://content.guardianapis.com/world/2020/nov/18/us-passes-250000-deaths-from-coronavirus,False,pillar/news,News
1,world/2020/sep/28/england-new-coronavirus-restrictions-explained,article,world,World news,2020-09-28T18:36:34Z,England’s new coronavirus restrictions explained,https://www.theguardian.com/world/2020/sep/28/england-new-coronavirus-restrictions-explained,https://content.guardianapis.com/world/2020/sep/28/england-new-coronavirus-restrictions-explained,False,pillar/news,News
2,us-news/2020/nov/20/donald-trump-jr-tests-positive-coronavirus,article,us-news,US news,2020-11-21T00:23:04Z,Donald Trump Jr tests positive for coronavirus,https://www.theguardian.com/us-news/2020/nov/20/donald-trump-jr-tests-positive-coronavirus,https://content.guardianapis.com/us-news/2020/nov/20/donald-trump-jr-tests-positive-coronavirus,False,pillar/news,News
3,world/2020/nov/20/coronavirus-australia-the-week-at-a-glance,article,world,World news,2020-11-20T08:21:13Z,Coronavirus Australia: the week at a glance,https://www.theguardian.com/world/2020/nov/20/coronavirus-australia-the-week-at-a-glance,https://content.guardianapis.com/world/2020/nov/20/coronavirus-australia-the-week-at-a-glance,False,pillar/news,News
4,australia-news/2020/nov/13/coronavirus-australia-the-week-at-a-glance,article,australia-news,Australia news,2020-11-13T08:01:05Z,Coronavirus Australia: the week at a glance,https://www.theguardian.com/australia-news/2020/nov/13/coronavirus-australia-the-week-at-a-glance,https://content.guardianapis.com/australia-news/2020/nov/13/coronavirus-australia-the-week-at-a-glance,False,pillar/news,News
5,world/2020/nov/02/latest-coronavirus-lockdowns-spark-protests-across-europe,article,world,World news,2020-11-02T15:47:43Z,Latest coronavirus lockdowns spark protests across Europe,https://www.theguardian.com/world/2020/nov/02/latest-coronavirus-lockdowns-spark-protests-across-europe,https://content.guardianapis.com/world/2020/nov/02/latest-coronavirus-lockdowns-spark-protests-across-europe,False,pillar/news,News
6,australia-news/2020/nov/06/coronavirus-australia-the-week-at-a-glance,article,australia-news,Australia news,2020-11-06T04:53:49Z,Coronavirus Australia: the week at a glance,https://www.theguardian.com/australia-news/2020/nov/06/coronavirus-australia-the-week-at-a-glance,https://content.guardianapis.com/australia-news/2020/nov/06/coronavirus-australia-the-week-at-a-glance,False,pillar/news,News
7,australia-news/2020/oct/30/coronavirus-australia-the-week-at-a-glance,article,australia-news,Australia news,2020-10-30T09:58:06Z,Coronavirus Australia: the week at a glance,https://www.theguardian.com/australia-news/2020/oct/30/coronavirus-australia-the-week-at-a-glance,https://content.guardianapis.com/australia-news/2020/oct/30/coronavirus-australia-the-week-at-a-glance,False,pillar/news,News
8,world/2020/oct/27/china-loses-trust-internationally-over-coronavirus-handling,article,world,World news,2020-10-27T14:30:00Z,China loses trust internationally over coronavirus handling,https://www.theguardian.com/world/2020/oct/27/china-loses-trust-internationally-over-coronavirus-handling,https://content.guardianapis.com/world/2020/oct/27/china-loses-trust-internationally-over-coronavirus-handling,False,pillar/news,News
9,world/2020/sep/27/lockdowners-v-libertarians-britain-coronavirus-divide,article,world,World news,2020-09-27T07:45:39Z,Lockdowners v libertarians: Britain’s coronavirus divide,https://www.theguardian.com/world/2020/sep/27/lockdowners-v-libertarians-britain-coronavirus-divide,https://content.guardianapis.com/world/2020/sep/27/lockdowners-v-libertarians-britain-coronavirus-divide,False,pillar/news,News
10,world/2020/nov/23/covid-cases-and-deaths-today-coronavirus-uk-map,article,world,World news,2020-11-23T09:36:46Z,Covid cases and deaths today: coronavirus UK map,https://www.theguardian.com/world/2020/nov/23/covid-cases-and-deaths-today-coronavirus-uk-map,https://content.guardianapis.com/world/2020/nov/23/covid-cases-and-deaths-today-coronavirus-uk-map,False,pillar/news,News
11,world/2020/nov/17/republican-senator-chuck-grassley-tests-positive-coronavirus,article,world,World news,2020-11-17T23:28:14Z,Republican senator Chuck Grassley tests positive for coronavirus,https://www.theguardian.com/world/2020/nov/17/republican-senator-chuck-grassley-tests-positive-coronavirus,https://content.guardianapis.com/world/2020/nov/17/republican-senator-chuck-grassley-tests-positive-coronavirus,False,pillar/news,News
12,uk-news/2020/oct/17/brother-of-liverpool-mayor-dies-from-coronavirus,article,uk-news,UK news,2020-10-17T12:11:42Z,Brother of Liverpool mayor dies from coronavirus,https://www.theguardian.com/uk-news/2020/oct/17/brother-of-liverpool-mayor-dies-from-coronavirus,https://content.guardianapis.com/uk-news/2020/oct/17/brother-of-liverpool-mayor-dies-from-coronavirus,False,pillar/news,News
13,us-news/2020/oct/22/cdc-coronavirus-covid-close-contact-definition,article,world,World news,2020-10-22T14:37:41Z,CDC rewrites definition for coronavirus 'close contact',https://www.theguardian.com/us-news/2020/oct/22/cdc-coronavirus-covid-close-contact-definition,https://content.guardianapis.com/us-news/2020/oct/22/cdc-coronavirus-covid-close-contact-definition,False,pillar/news,News
14,world/2020/nov/10/coronavirus-anti-vaxxers-seek-to-discredit-pfizers-vaccine,article,world,World news,2020-11-10T17:40:13Z,Coronavirus: anti-vaxxers seek to discredit Pfizer's vaccine,https://www.theguardian.com/world/2020/nov/10/coronavirus-anti-vaxxers-seek-to-discredit-pfizers-vaccine,https://content.guardianapis.com/world/2020/nov/10/coronavirus-anti-vaxxers-seek-to-discredit-pfizers-vaccine,False,pillar/news,News
15,uk-news/2020/aug/18/coronavirus-government-eases-leicester-lockdown-again,article,uk-news,UK news,2020-08-18T13:43:52Z,Coronavirus: government eases Leicester lockdown,https://www.theguardian.com/uk-news/2020/aug/18/coronavirus-government-eases-leicester-lockdown-again,https://content.guardianapis.com/uk-news/2020/aug/18/coronavirus-government-eases-leicester-lockdown-again,False,pillar/news,News
16,music/2020/nov/13/new-order-frontman-bernard-sumner-recovering-from-coronavirus,article,music,Music,2020-11-13T09:32:37Z,New Order frontman Bernard Sumner recovering from coronavirus,https://www.theguardian.com/music/2020/nov/13/new-order-frontman-bernard-sumner-recovering-from-coronavirus,https://content.guardianapis.com/music/2020/nov/13/new-order-frontman-bernard-sumner-recovering-from-coronavirus,False,pillar/arts,Arts
17,australia-news/2020/nov/09/melbourne-restrictions-victoria-lockdown-rules-covid-19-metropolitan-metro-explained-what-you-need-to-know,article,australia-news,Australia news,2020-11-08T23:10:14Z,Melbourne Covid lockdown rules and coronavirus restrictions explained,https://www.theguardian.com/australia-news/2020/nov/09/melbourne-restrictions-victoria-lockdown-rules-covid-19-metropolitan-metro-explained-what-you-need-to-know,https://content.guardianapis.com/australia-news/2020/nov/09/melbourne-restrictions-victoria-lockdown-rules-covid-19-metropolitan-metro-explained-what-you-need-to-know,False,pillar/news,News
18,australia-news/2020/nov/09/coronavirus-victoria-melbourne-restrictions-lockdown-victorian-vic-covid-19-rules-explained-what-you-need-to-know,article,australia-news,Australia news,2020-11-08T23:12:33Z,Regional Victoria's coronavirus restrictions and lockdown rules explained,https://www.theguardian.com/australia-news/2020/nov/09/coronavirus-victoria-melbourne-restrictions-lockdown-victorian-vic-covid-19-rules-explained-what-you-need-to-know,https://content.guardianapis.com/australia-news/2020/nov/09/coronavirus-victoria-melbourne-restrictions-lockdown-victorian-vic-covid-19-rules-explained-what-you-need-to-know,False,pillar/news,News
19,world/2020/oct/06/flurry-of-coronavirus-reinfections-leaves-scientists-puzzled,article,world,World news,2020-10-06T12:37:40Z,Flurry of coronavirus reinfections leaves scientists puzzled,https://www.theguardian.com/world/2020/oct/06/flurry-of-coronavirus-reinfections-leaves-scientists-puzzled,https://content.guardianapis.com/world/2020/oct/06/flurry-of-coronavirus-reinfections-leaves-scientists-puzzled,False,pillar/news,News
20,world/2020/sep/09/coronavirus-testing-the-pm-fact-checked,article,world,World news,2020-09-09T17:58:58Z,Coronavirus testing: the PM fact-checked,https://www.theguardian.com/world/2020/sep/09/coronavirus-testing-the-pm-fact-checked,https://content.guardianapis.com/world/2020/sep/09/coronavirus-testing-the-pm-fact-checked,False,pillar/news,News
21,world/2020/oct/05/the-ups-and-downs-of-controlling-coronavirus,article,world,World news,2020-10-05T16:37:43Z,The ups and downs of controlling coronavirus | Letters,https://www.theguardian.com/world/2020/oct/05/the-ups-and-downs-of-controlling-coronavirus,https://content.guardianapis.com/world/2020/oct/05/the-ups-and-downs-of-controlling-coronavirus,False,pillar/news,News
22,world/2020/oct/29/remote-marshall-islands-records-its-first-coronavirus-cases,article,world,World news,2020-10-29T00:18:11Z,Remote Marshall Islands records its first coronavirus cases,https://www.theguardian.com/world/2020/oct/29/remote-marshall-islands-records-its-first-coronavirus-cases,https://content.guardianapis.com/world/2020/oct/29/remote-marshall-islands-records-its-first-coronavirus-cases,False,pillar/news,News
23,world/2020/jul/03/coronavirus-the-week-explained,article,world,World news,2020-07-03T11:03:46Z,Coronavirus: the week explained,https://www.theguardian.com/world/2020/jul/03/coronavirus-the-week-explained,https://content.guardianapis.com/world/2020/jul/03/coronavirus-the-week-explained,False,pillar/news,News
24,uk-news/2020/nov/02/prince-william-tested-positive-for-coronavirus-in-april,article,uk-news,UK news,2020-11-02T00:34:39Z,Prince William 'tested positive for coronavirus' in April,https://www.theguardian.com/uk-news/2020/nov/02/prince-william-tested-positive-for-coronavirus-in-april,https://content.guardianapis.com/uk-news/2020/nov/02/prince-william-tested-positive-for-coronavirus-in-april,False,pillar/news,News
25,us-news/2020/oct/29/white-house-coronavirus-taskforce-fauci-covid-spread,article,us-news,US news,2020-10-29T13:24:50Z,White House coronavirus taskforce warns of 'unrelenting' spread,https://www.theguardian.com/us-news/2020/oct/29/white-house-coronavirus-taskforce-fauci-covid-spread,https://content.guardianapis.com/us-news/2020/oct/29/white-house-coronavirus-taskforce-fauci-covid-spread,False,pillar/news,News
26,world/2020/oct/01/uk-healthcare-workers-share-your-coronavirus-experiences,article,world,World news,2020-10-01T11:44:36Z,UK healthcare workers: share your coronavirus experiences,https://www.theguardian.com/world/2020/oct/01/uk-healthcare-workers-share-your-coronavirus-experiences,https://content.guardianapis.com/world/2020/oct/01/uk-healthcare-workers-share-your-coronavirus-experiences,False,pillar/news,News
27,world/2020/oct/23/the-zzz-factor-how-coronavirus-has-wreaked-havoc-with-our-sleep,article,world,World news,2020-10-24T14:44:24Z,How coronavirus has wreaked havoc with our sleep,https://www.theguardian.com/world/2020/oct/23/the-zzz-factor-how-coronavirus-has-wreaked-havoc-with-our-sleep,https://content.guardianapis.com/world/2020/oct/23/the-zzz-factor-how-coronavirus-has-wreaked-havoc-with-our-sleep,False,pillar/news,News
28,australia-news/2020/oct/23/coronavirus-australia-latest-the-week-at-a-glance,article,australia-news,Australia news,2020-10-23T08:47:01Z,Coronavirus Australia latest: the week at a glance,https://www.theguardian.com/australia-news/2020/oct/23/coronavirus-australia-latest-the-week-at-a-glance,https://content.guardianapis.com/australia-news/2020/oct/23/coronavirus-australia-latest-the-week-at-a-glance,False,pillar/news,News
29,world/2020/oct/22/belgium-deputy-pm-sophie-wilmes-in-intensive-care-with-coronavirus,article,world,World news,2020-10-22T12:42:07Z,Belgium's deputy PM in intensive care with coronavirus,https://www.theguardian.com/world/2020/oct/22/belgium-deputy-pm-sophie-wilmes-in-intensive-care-with-coronavirus,https://content.guardianapis.com/world/2020/oct/22/belgium-deputy-pm-sophie-wilmes-in-intensive-care-with-coronavirus,False,pillar/news,News
30,world/2020/sep/01/pitiful-payments-for-coronavirus-self-isolators,article,world,World news,2020-09-01T16:28:32Z,Pitiful payments for coronavirus self-isolators | Letter,https://www.theguardian.com/world/2020/sep/01/pitiful-payments-for-coronavirus-self-isolators,https://content.guardianapis.com/world/2020/sep/01/pitiful-payments-for-coronavirus-self-isolators,False,pillar/news,News
31,australia-news/2020/nov/16/south-australia-coronavirus-cluster-what-we-know-so-far,article,australia-news,Australia news,2020-11-16T00:50:02Z,South Australia coronavirus cluster: what we know so far,https://www.theguardian.com/australia-news/2020/nov/16/south-australia-coronavirus-cluster-what-we-know-so-far,https://content.guardianapis.com/australia-news/2020/nov/16/south-australia-coronavirus-cluster-what-we-know-so-far,False,pillar/news,News
32,world/2020/sep/21/coronavirus-northern-ireland-ban-households-mixing-indoors,article,world,World news,2020-09-21T17:48:42Z,Coronavirus: Northern Ireland bans households mixing indoors,https://www.theguardian.com/world/2020/sep/21/coronavirus-northern-ireland-ban-households-mixing-indoors,https://content.guardianapis.com/world/2020/sep/21/coronavirus-northern-ireland-ban-households-mixing-indoors,False,pillar/news,News
33,world/2020/sep/20/protests-madrid-coronavirus-lockdown-measures-spain,article,world,World news,2020-09-20T14:09:13Z,Protests in Madrid over coronavirus lockdown measures,https://www.theguardian.com/world/2020/sep/20/protests-madrid-coronavirus-lockdown-measures-spain,https://content.guardianapis.com/world/2020/sep/20/protests-madrid-coronavirus-lockdown-measures-spain,False,pillar/news,News
34,society/2020/nov/19/nhs-assembles-army-of-staff-for-mass-coronavirus-vaccinations,article,society,Society,2020-11-19T06:00:04Z,NHS assembles army of staff for mass coronavirus vaccinations,https://www.theguardian.com/society/2020/nov/19/nhs-assembles-army-of-staff-for-mass-coronavirus-vaccinations,https://content.guardianapis.com/society/2020/nov/19/nhs-assembles-army-of-staff-for-mass-coronavirus-vaccinations,False,pillar/news,News
35,uk-news/2020/nov/17/hull-residents-how-have-you-been-affected-by-coronavirus,article,uk-news,UK news,2020-11-17T09:57:10Z,Hull residents: how have you been affected by coronavirus?,https://www.theguardian.com/uk-news/2020/nov/17/hull-residents-how-have-you-been-affected-by-coronavirus,https://content.guardianapis.com/uk-news/2020/nov/17/hull-residents-how-have-you-been-affected-by-coronavirus,False,pillar/news,News
